Column 3,EdgeBetweenness,interaction,name,selected,shared interaction,shared name,status
0.7908272,8.24674947,interacts with,C134_0087_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0087_a_at (interacts with) C134_0022_a_at,up
0.7228678,10.21675943,interacts with,C134_0087_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0087_a_at (interacts with) C134_0028_a_at,up
0.7880067,22.86156026,interacts with,C134_0088_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0088_a_at (interacts with) C134_0021_a_at,up
0.7617251,21.19048167,interacts with,C134_0088_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0088_a_at (interacts with) C134_0022_a_at,up
0.700284,16.93157639,interacts with,C134_0088_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0088_a_at (interacts with) C134_0028_a_at,up
0.7050347,7.60452163,interacts with,C134_0088_a_at (interacts with) C134_0068_a_at,FALSE,interacts with,C134_0088_a_at (interacts with) C134_0068_a_at,down
0.7530671,12.05990762,interacts with,C134_0088_a_at (interacts with) C134_0082_a_at,FALSE,interacts with,C134_0088_a_at (interacts with) C134_0082_a_at,up
0.7541755,21.33886204,interacts with,C134_0092_a_at (interacts with) C134_0004_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0004_a_at,up
0.7211075,36.39037736,interacts with,C134_0092_a_at (interacts with) C134_0020_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0020_a_at,up
0.8394312,9.03320495,interacts with,C134_0092_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0021_a_at,up
0.8577832,6.5875759,interacts with,C134_0092_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0022_a_at,up
0.7994178,10.0079335,interacts with,C134_0092_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0028_a_at,up
0.7094211,97.28748832,interacts with,C134_0092_a_at (interacts with) C134_0030_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0030_a_at,up
0.7425063,12.73484118,interacts with,C134_0092_a_at (interacts with) C134_0038_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0038_a_at,up
0.7283487,17.22316559,interacts with,C134_0092_a_at (interacts with) C134_0068_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0068_a_at,down
0.7752992,19.21837048,interacts with,C134_0092_a_at (interacts with) C134_0082_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0082_a_at,up
0.8277318,10.85888701,interacts with,C134_0092_a_at (interacts with) C134_0087_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0087_a_at,up
0.7254437,25.10935571,interacts with,C134_0092_a_at (interacts with) C134_0088_a_at,FALSE,interacts with,C134_0092_a_at (interacts with) C134_0088_a_at,up
0.7953702,14.37863213,interacts with,C134_0093_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0093_a_at (interacts with) C134_0015_a_at,up
0.7757537,12.73528403,interacts with,C134_0093_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0093_a_at (interacts with) C134_0023_a_at,up
0.7480003,9.82001242,interacts with,C134_0093_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0093_a_at (interacts with) C134_0024_a_at,up
0.7068168,23.12161486,interacts with,C134_0093_a_at (interacts with) C134_0025_a_at,FALSE,interacts with,C134_0093_a_at (interacts with) C134_0025_a_at,up
0.7658321,16.96675291,interacts with,C134_0093_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0093_a_at (interacts with) C134_0029_a_at,up
0.7044253,19.12531488,interacts with,C134_0094_a_at (interacts with) C134_0054_a_at,FALSE,interacts with,C134_0094_a_at (interacts with) C134_0054_a_at,up
0.750984,13.00044689,interacts with,C134_0095_a_at (interacts with) C134_0094_a_at,FALSE,interacts with,C134_0095_a_at (interacts with) C134_0094_a_at,up
0.7044216,47.7713616,interacts with,C134_0097_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0097_a_at (interacts with) C134_0015_a_at,up
0.7460985,16.55416356,interacts with,C134_0097_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0097_a_at (interacts with) C134_0023_a_at,up
0.819894,14.50562978,interacts with,C134_0098_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0098_a_at (interacts with) C134_0015_a_at,down
0.7516284,20.79178896,interacts with,C134_0098_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0098_a_at (interacts with) C134_0023_a_at,down
0.726108,21.3448735,interacts with,C134_0098_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0098_a_at (interacts with) C134_0024_a_at,down
0.8210724,10.49487472,interacts with,C134_0098_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0098_a_at (interacts with) C134_0029_a_at,down
0.7527961,21.63086494,interacts with,C134_0098_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0098_a_at (interacts with) C134_0093_a_at,down
0.7408281,24.6853962,interacts with,C134_0099_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0099_a_at (interacts with) C134_0015_a_at,down
0.7108021,19.08872203,interacts with,C134_0099_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0099_a_at (interacts with) C134_0024_a_at,down
0.7756616,16.48596359,interacts with,C134_0099_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0099_a_at (interacts with) C134_0029_a_at,down
0.8511419,10.34498181,interacts with,C134_0099_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0099_a_at (interacts with) C134_0098_a_at,up
0.7340133,7.70006221,interacts with,C134_0100_a_at (interacts with) C134_0010_a_at,FALSE,interacts with,C134_0100_a_at (interacts with) C134_0010_a_at,up
0.7411897,12.72013301,interacts with,C134_0100_a_at (interacts with) C134_0018_a_at,FALSE,interacts with,C134_0100_a_at (interacts with) C134_0018_a_at,up
0.7427024,16.10069976,interacts with,C134_0101_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0101_a_at (interacts with) C134_0021_a_at,up
0.7456456,13.40080432,interacts with,C134_0101_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0101_a_at (interacts with) C134_0022_a_at,up
