"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.0","0.05555556","1.0","0.83333333","4","4","1","false","alsA_b4087_14","3.5","4","0","0","1.0","false","0","alsA_b4087_14","2","0.875"
"1.0","0.05555556","1.0","0.83333333","4","4","1","false","alsC_b4086_14","3.5","4","0","0","1.0","false","0","alsC_b4086_14","2","0.875"
"1.0","0.05555556","1.0","0.83333333","4","4","1","false","alsE_b4085_14","3.5","4","0","0","1.0","false","0","alsE_b4085_14","2","0.875"
"1.25","0.0","0.8","1.0","3","3","2","false","alsK_b4084_14","4.0","3","0","0","0.875","false","0","alsK_b4084_14","0","1.0"
"2.14130435","1.3502E-4","0.46700508","0.73044397","44","44","4","false","amiB_b4169_15","116.15909091","44","0","0","0.77173913","false","0","amiB_b4169_15","1582","0.32446673"
"2.04782609","1.408E-4","0.48832272","0.71529412","51","51","4","false","acpT_b3475_15","129.29411765","51","0","0","0.79043478","false","0","acpT_b3475_15","1724","0.33237562"
"1.78636364","0.00627719","0.55979644","0.60406886","72","72","3","false","amyA_b1927_15","71.26388889","72","0","0","0.84272727","false","0","amyA_b1927_15","13696","0.36545584"
"1.70810811","0.00497039","0.58544304","0.53977591","120","120","3","false","anmK_b1640_15","110.16666667","120","0","0","0.85837838","false","0","anmK_b1640_15","33074","0.30772812"
"1.30769231","0.0","0.76470588","1.0","10","10","3","false","appB_b0979_15","11.1","10","0","0","0.8974359","false","0","appB_b0979_15","0","0.925"
"1.30769231","0.0","0.76470588","1.0","10","10","3","false","appA_b0980_15","11.1","10","0","0","0.8974359","false","0","appA_b0980_15","0","0.925"
"1.30769231","0.0","0.76470588","1.0","10","10","3","false","appC_b0978_15","11.1","10","0","0","0.8974359","false","0","appC_b0978_15","0","0.925"
"2.05217391","0.00481382","0.48728814","0.74355159","64","64","4","false","apt_b0469_15","142.34375","64","0","0","0.78956522","false","0","apt_b0469_15","74090","0.38161863"
"2.07297297","6.2923E-4","0.48239896","0.72923077","26","26","3","false","aqpZ_b0875_14","121.73076923","26","0","0","0.78540541","false","0","aqpZ_b0875_14","2708","0.38510224"
"1.125","0.05","0.88888889","0.80952381","7","7","2","false","araB_b0063_14","6.0","7","0","0","0.95833333","false","0","araB_b0063_14","12","0.75"
